Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;10877,71484375;1677,08015309572;10;331,5312;False;2175,543;133,7853;638,2412;0,370736;52747,34
2;12177,3359375;3813,91927566528;6;354,741;False;2435,467;88,1044;694,7746;3,982175;12707,85
3;10011,52734375;5855,33627276421;6;336,757;False;2002,305;81,42459;593,7095;8,429162;16985,02
4;32649,986328125;9806,41761920042;6;336,757;True;2760;122,5523;853,1165;31,34915;958344,9
5;26258,978515625;8642,89845486283;6;350,3416;True;2760;97,62823;742,7228;22,26196;6284184
6;11683,814453125;8107,77021729946;6;336,757;False;2336,763;94,24158;698,0164;10,65658;12996,35
7;30393,513671875;10279,0362669051;6;350,3416;True;2760;122,3683;873,9319;16,18611;2838739
8;32916,609375;13991,4384961843;6;325,1727;True;2760;93,42108;855,3594;33,93197;736158,2
9;31635,61328125;15453,0933349609;6;325,1727;True;2760;89,18835;885,9893;38,42031;1803656
10;33447,33984375;19748,7771591187;6;315,6547;True;2760;82,47339;887,1342;42,33354;293882,6
11;33113,21875;22013,7087892532;6;315,6547;True;2760;84,53699;869,6232;43,3782;572317,9
12;33624,15625;21301,9819091797;6;315,6547;True;2760;85,28687;870,087;42,00328;146537,4
13;33510,6640625;19618,8066650391;5;308,8272;True;2760;75,78027;865,358;36,0343;241114,1
14;33581,7265625;21126,7217534065;7;331,0798;True;2760;90,82495;877,6769;38,47956;181893,6
15;33089,29296875;23424,2486816406;6;324,2523;True;2760;87,87292;898,4482;31,77282;592257,2
16;32583,427734375;25711,2974609375;6;301,7744;True;2760;78,37891;903,4113;33,22025;1013810
17;32836,60546875;20657,9299692154;6;301,7744;True;2760;88,09033;898,8759;26,94861;802829,9
18;32800,859375;25551,2889160156;6;338,9673;True;2760;115,0833;882,3354;29,30534;832617,1
19;33358,53125;23239,7331813335;5;300,557;True;2760;88,11548;894,7906;39,02641;367891,5
20;33526,07421875;26525,5134765625;5;277,9452;True;2760;81,68652;906,0963;19,41609;228271,6
21;33375,18359375;23159,6571533203;5;310,075;True;2760;87,92505;903,9805;36,97228;354012,6
22;33715,16796875;27385,2197995186;5;277,3909;True;2760;86,26514;886,2725;36,48383;70694,91
23;33314,59765625;20191,8209108353;5;310,075;True;2760;98,52271;884,5034;25,58529;404502,2
24;32674,4453125;20160,902025938;5;310,075;True;2760;96,93042;855,3879;28,2311;937961,7
25;32824,84375;27739,5399414062;5;310,075;True;2760;105,4727;860,8566;23,44216;812631,3
26;33687,66015625;17228,1460990787;5;310,075;True;2760;97,3064;811,1631;24,76154;93617,16
27;33505,47265625;22832,0821533203;5;310,075;True;2760;89,41138;887,8797;32,00657;245438,7
28;33395,0625;19565,7253295898;5;310,075;True;2760;91,57129;897,9962;36,36805;337448,2
29;33137,71875;26288,6664550781;5;310,075;True;2760;98,8457;898,7626;13,6508;551902,2
30;32757,974609375;20731,2969970703;5;310,075;True;2760;121,0679;888,9692;23,35848;868354,5
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;30967,63671875;3565,22051079273;10;358,1277;True;2760;148,6603;820,3347;65,25507;2360303
2;31693,0859375;7382,03237438202;10;358,1277;True;2760;122,2059;818,6774;24,13497;1755762
3;31704,361328125;11276,1539028168;10;339,1355;True;2760;113,9918;870,6319;33,17885;1746366
4;32187,09765625;16328,1065063477;10;339,1355;True;2760;111,6655;775,2354;39,17995;1344086
5;33389,44921875;19006,1288809299;10;339,1355;True;2760;102,0338;832,5472;40,37365;342127,3
6;33549,9375;21096,940246582;10;321,5679;True;2760;103,535;775,9451;15,35311;208385
7;32601,36328125;22065,7480957031;10;321,5679;True;2760;88,71033;844,3901;39,40346;998864,7
8;33008,05859375;26469,3329101562;10;325,7515;True;2760;99,58362;854,7024;12,95013;659951,8
9;33439,7734375;23638,8591501236;10;355,5894;True;2760;95,99426;790,5266;44,37791;300189,9
10;33600,4375;18305,728125;10;324,1354;True;2760;100,7994;892,3928;31,19748;166302,4
11;31566,61328125;20259,7553222656;10;328,2633;True;2760;94,8623;806,6165;33,79983;1861156
12;32358,849609375;18616,6833984375;10;328,2633;True;2760;88,27173;844,0501;30,46324;1200958
13;32745,814453125;17564,7330078125;10;323,7499;True;2760;106,4026;832,2117;41,44501;878488,6
14;33048,08984375;23947,3093017578;10;325,7419;True;2760;91,82935;851,4797;42,62697;626593,3
15;33222,109375;23158,9902828217;10;325,7419;True;2760;87,75818;781,4152;27,56915;481574,7
16;33550,09375;21472,7687619209;9;319,1338;True;2760;91,02734;760,6146;30,48727;208256,4
17;33480,6171875;24388,9902511597;9;319,1338;True;2760;94,34546;802,5906;37,18813;266151,6
18;33236,04296875;17998,723309207;9;317,2481;True;2760;110,8254;833,1695;28,79035;469963,7
