Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;2280;238.023419857025;9;334.7019;True;2280;41.9842;626.4776;106.1214;656802.9
2;1045.07006835938;339.315670192242;10;366.6007;False;1045.07;47.58362;311.4144;-29.94605;23823.26
3;1554.92114257813;533.76646797061;9;363.5162;False;1554.921;32.46309;411.3326;122.5863;764775.9
4;1421.70092773438;543.263650792837;8;380.5407;False;1421.701;30.66406;379.0769;-13.57352;7691.58
5;1814.25073242188;838.73322956562;10;406.9955;False;1814.251;47.65381;512.4929;7.947566;390405.4
6;2107.97314453125;848.579464330524;10;384.2379;False;2107.973;44.19849;565.2133;45.47871;492961.8
7;1570.89147949219;793.18285472393;10;286.5881;False;1570.891;46.87851;448.1613;30.03629;113227.5
8;1733.8056640625;908.49986114502;10;400.44;False;1733.806;44.53967;479.5928;17.10803;30150.46
9;2160.45825195313;1160.7095638752;8;368.5956;False;2160.458;48.24255;713.1429;19.6358;562665.5
10;2249.603515625;833.420198008418;10;396.3919;False;2249.604;50.84998;637.1646;5.767809;59533.31
11;1901.73950195313;895.405083465576;8;402.3453;False;1901.74;45.99915;591.5252;22.01505;157011.3
12;2280;1043.72030835003;10;380.8517;True;2280;45.28894;640.2561;53.10876;6660896
13;2280;1134.91616032124;10;389.4118;True;2280;60.27234;697.9583;52.22818;3481951
14;2250.23120117188;1360.70242676735;10;349.9118;False;2250.231;53.07715;611.207;-15.45967;111388.4
15;2280;1140.70463056564;10;383.4256;True;2280;40.18799;653.5071;119.1087;1.023298E+07
16;2029.47973632813;1269.80954487398;10;418.0395;False;2029.48;46.05725;561.686;-29.63924;343773.7
17;2280;1644.22925077677;7;280.2186;True;2280;48.85327;640.5708;25.94874;4149133
18;2280;1048.56293166876;10;421.9347;True;2280;41.99805;676.5967;99.85437;6948070
19;2280;1422.8473675251;10;442.956;True;2280;40.02502;658.5374;117.626;2347797
20;2210.3134765625;1400.33284169436;9;331.0036;False;2210.313;54.13086;653.8962;-59.67606;48517.05
21;2280;1316.93780331612;9;331.0036;True;2280;48.91223;619.9496;92.14639;4145919
22;2280;1340.15520570278;10;372.3724;True;2280;46.96594;719.6686;46.78819;1.114504E+07
23;2280;1763.86902160645;10;375.4495;True;2280;42.40137;600.52;101.2449;3509177
24;2280;1125.55389351845;9;341.6652;True;2280;44.49487;639.2377;71.12383;2337320
25;2280;1407.03432097435;10;315.4588;True;2280;49.65918;604.2198;72.46175;6953716
