Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;663.757507324219;117.385914307088;10;270.9028;False;2642.072;112.1532;775.9107;-9.521947;56418.51
2;768.74365234375;179.594938457385;10;297.7947;True;2760;107.2592;776.0028;40.35023;531541.7
3;766.851806640625;318.117581489682;10;261.6793;True;2760;118.8875;785.7393;35.60233;4055105
4;872.870849609375;553.774546769261;10;297.7947;True;2760;110.0956;882.9664;24.09546;1539673
5;899.237060546875;654.957805654407;10;298.181;True;2760;98.07605;897.3131;30.28477;5745473
6;907.077880859375;786.637796807289;10;297.7947;True;2760;97.06091;904.1388;31.41811;5615239
7;916.710876464844;641.113425168395;10;298.181;True;2760;95.96533;912.6762;28.04034;2613157
8;909.542053222656;656.611360549927;10;297.7947;True;2760;99.61926;909.1613;26.9889;1.083544E+07
9;920.792053222656;622.061851754785;10;305.6871;True;2760;90.14636;910.9384;25.62719;1.395458E+07
10;918.916748046875;781.032233339548;10;305.6871;True;2760;93.1532;912.0699;35.45802;1.099461E+07
11;933.884704589844;742.612544040754;10;285.1105;True;2760;78.4425;912.3272;27.49096;7845553
12;930.285705566406;786.058705742657;10;305.6871;True;2760;80.5885;910.8742;27.08381;5397155
13;932.998107910156;787.07083119154;10;305.6871;True;2760;77.71924;910.7173;32.84047;7915423
14;938.399230957031;886.874661254883;10;305.6871;True;2760;74.9751;913.3743;28.46113;2857071
15;929.228820800781;843.711143133044;10;305.6871;True;2760;80.73486;909.9637;36.34302;9944886
16;931.068237304688;672.081496858597;10;291.2595;True;2760;83.19714;914.2654;29.53399;3297060
17;931.497192382813;908.309637451172;10;274.1123;True;2760;80.85889;912.3561;28.02674;2870279
18;911.260192871094;533.997587844729;10;262.7657;True;2760;81.10205;892.3622;23.96481;2.246652E+07
19;932.63037109375;758.412763890624;10;262.7657;True;2760;72.39771;905.0281;38.87317;1.356845E+07
20;932.744445800781;804.521897464991;10;308.3172;True;2760;78.24146;910.9859;27.98181;4777522
21;855.480529785156;456.141817462444;10;308.3172;True;2760;80.12134;835.6019;27.23207;3240394
22;934.482971191406;678.087883962691;10;299.2877;True;2760;77.927;912.41;31.69515;4125739
23;943.192138671875;635.550908870995;10;299.2877;True;2760;71.19263;914.3848;28.39219;4991263
24;936.623229980469;673.396652954817;10;299.2877;True;2760;77.34253;913.9658;27.54911;5703909
25;939.087829589844;799.33167104125;10;288.6779;True;2760;74.43726;913.5251;27.13626;9288264
26;891.532531738281;688.165754336119;10;263.418;True;2760;64.51855;856.0511;40.66394;4169415
27;947.95849609375;791.43325791359;10;310.0218;True;2760;63.10059;911.0591;46.85147;1449833
28;953.540771484375;816.988802391291;10;263.418;True;2760;53.86255;907.4033;56.98763;2.684291E+07
29;933.939147949219;792.141646057367;10;289.1829;True;2760;60.52417;894.4633;45.69141;2.60881E+07
30;897.778869628906;723.628580474853;10;263.418;True;2760;63.99683;861.7757;39.97024;2.113091E+07
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
