Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1378.11315917969;646.681130868197;9;368.6744;False;1378.113;36.05539;382.2661;40.39726;137768.2
2;2280;1208.86444737911;9;368.6744;True;2280;41.91042;625.9616;101.157;6364751
3;2070.43432617188;1236.70654668808;9;368.6744;False;2070.434;45.19746;565.173;-3.657927;424993.7
4;2280;1537.41568908691;10;382.8206;True;2280;45.42111;693.1353;48.16105;1.28921E+07
5;2280;1347.68027515411;9;368.6744;True;2280;45.24689;700.5585;26.42764;4266942
6;2280;1397.2229845047;9;368.6744;True;2280;42.06525;742.2822;42.78275;1.049616E+07
7;2166.7109375;1222.87980699614;9;373.6913;False;2166.711;42.01727;633.9579;-53.39915;22953.27
8;2157.63647460938;1394.96676225662;9;335.5146;False;2157.636;45.02661;704.6658;-3.107781;675553.3
9;2115.21435546875;1300.48999889791;9;332.9389;False;2115.214;46.30798;630.9127;33.36107;323318.9
10;2246.43994140625;1487.90972094536;9;387.4849;False;2246.44;48.78461;647.1318;7.384965;538399
11;2280;1579.04224081039;9;363.5859;True;2280;44.69537;701.6891;52.71384;1.505498E+07
12;2280;1785.84043807983;8;358.3911;True;2280;40.36121;629.468;85.4942;3242785
13;2280;1374.10351791382;8;293.5912;True;2280;45.61523;619.0242;73.6751;1.185941E+07
14;2280;1708.79389605522;8;293.5912;True;2280;39.56946;593.1227;85.14321;1.329827E+07
15;2280;1549.09256038666;9;262.1623;True;2280;45.86707;576.4724;63.46211;5959060
16;2280;1628.13530840278;8;286.6366;True;2280;40.99609;641.0223;88.0221;1.815423E+07
17;2280;1641.28890228271;8;286.6366;True;2280;39.83569;588.4341;100.309;1.524648E+07
18;2280;1822.41147460938;9;376.6137;True;2280;45.63757;627.8414;18.51433;1.595798E+07
19;2280;1443.96653356552;8;210.0593;True;2280;40.43542;576.4561;96.66052;1.412208E+07
20;2280;1378.20979892015;9;367.5364;True;2280;52.35791;641.8574;70.19516;1.214626E+07
21;2280;1572.17408921719;8;264.52;True;2280;40.95898;569.6068;93.5552;1.967286E+07
22;2280;1360.09103696942;9;367.5364;True;2280;44.74121;642.6769;25.45234;397017.6
23;2280;1606.15953674316;9;367.5364;True;2280;40.81653;634.3679;101.4658;1.114128E+07
24;2280;1562.1579241991;9;367.5364;True;2280;41.83337;618.5005;102.4031;1.369917E+07
25;2280;1782.15877685547;9;259.4978;True;2280;38.974;606.6354;112.3914;1.25973E+07
26;2280;1644.80105704069;9;274.3955;True;2280;46.00806;636.9326;55.9638;1.009036E+07
27;2280;1387.28882918358;9;327.0748;True;2280;44.21118;643.8458;64.70525;2.425652E+07
28;2280;1509.87546081543;9;315.0795;True;2280;43.83398;653.3294;80.24136;1.912329E+07
29;2280;1718.39828491211;9;315.0795;True;2280;44.1499;587.0306;83.74046;6252206
30;2280;1569.40589188635;9;315.0795;True;2280;42.02075;679.9939;62.84869;8331828
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1649.59497070313;420.76407174468;10;375.4413;False;1649.595;49.84573;492.0453;-10.84837;271673.1
2;1782.70202636719;753.64936542511;8;318.8773;False;1782.702;49.53567;515.6074;-19.23539;16101.42
3;2280;1283.59365024567;9;361.3831;True;2280;42.69572;610.3088;80.33897;1.852569E+07
4;2158.01196289063;1174.60776076317;9;361.3831;False;2158.012;57.21167;656.6961;-20.15076;180826.1
5;2280;1437.43138514757;9;361.3831;True;2280;46.58417;664.9633;82.93144;2204248
6;2280;1412.37947826385;9;361.3831;True;2280;40.29984;640.4385;133.7135;1.494309E+07
7;2280;1415.10715579987;9;339.2953;True;2280;40.56921;632.4179;126.086;1.369348E+07
8;2280;1696.59885253906;9;361.3831;True;2280;49.91467;681.5226;23.40602;2457442
9;2280;1556.96558087468;9;360.7177;True;2280;45.0401;684.7476;88.17888;7518397
10;2280;1148.77994176745;9;340.3497;True;2280;49.87531;658.1212;91.75557;1.443631E+07
11;2280;1223.21390390396;10;365.7453;True;2280;43.58136;641.7289;75.80966;2.109788E+07
12;2280;1865.83108520508;10;357.8983;True;2280;48.8714;632.6078;41.90887;8035136
13;2280;1680.85699830651;10;357.8983;True;2280;47.57922;651.9374;35.15587;223109.6
14;2280;1795.65155743361;10;365.7842;True;2280;47.80798;647.3973;73.82172;3295885
15;2280;1732.20683310032;10;365.7842;True;2280;47.21277;605.389;68.49642;1.823996E+07
16;2280;1529.99782314301;10;365.7842;True;2280;43.18066;658.5849;98.60909;1496341
17;2280;1510.67639774978;8;281.923;True;2280;44.61133;652.4783;63.09428;1.401699E+07
18;2280;1715.71228637695;8;281.923;True;2280;43.5498;597.0366;62.57445;7297642
