Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;368,270446777344;174,715213295072;10;469,3174;False;2276,51;74,77612;443,0466;-192,27;90160,27
2;469,778869628906;252,410915567353;10;446,4822;False;3091,895;135,4267;605,2056;-42,20873;259323,6
3;753,622497558594;317,249681854248;10;379,1075;True;4450;207,6997;861,3222;79,39922;3417974
4;773,053161621094;330,397934696078;10;377,3258;True;4450;202,9279;875,9811;46,06446;2863801
5;761,929077148438;395,03883831352;10;380,7179;True;4450;198,2451;860,1741;82,00144;1985264
6;762,050048828125;620,328143310547;10;388,4647;True;4450;197,0865;859,1366;29,39523;5133000
7;784,608154296875;535,551210784912;10;374,0952;True;4450;181,0127;865,6208;123,7585;3263359
8;776,887878417969;618,250273025036;10;374,0952;True;4450;190,5165;867,4044;123,9403;5457551
9;786,601440429688;521,926808810234;10;374,0952;True;4450;184,4323;871,0337;156,2031;3450945
10;785,880859375;644,538757324219;10;374,0952;True;4450;184,6841;870,5649;122,2945;1223597
11;779,546691894531;531,863771057129;10;374,0952;True;4450;185,3552;864,9019;165,8021;2239863
12;780,542785644531;574,989692729712;9;366,2979;True;4450;185,1689;865,7117;135,0166;1849306
13;777,933288574219;553,114446532726;10;349,0772;True;4450;182,0559;859,9892;186,7048;918552,7
14;767,110107421875;529,38439655304;9;284,5891;True;4450;177,8857;844,9958;159,4509;5736074
15;801,075378417969;593,930291819572;9;287,9811;True;4450;164,9482;866,0236;109,4952;6554377
16;805,082153320313;502,299157503247;9;306,4641;True;4450;161,9795;867,0616;30,29572;6126280
17;787,944396972656;524,138233268261;9;306,4641;True;4450;170,4451;858,3895;13,43326;5745159
18;784,160034179688;533,720176224783;10;389,6406;True;4450;176,1548;860,3148;25,89463;5524616
19;757,413940429688;516,50962819457;9;317,497;True;4450;163,4546;820,8685;38,06815;1589553
20;759,927001953125;500,860774230957;10;353,9206;True;4450;165,2295;825,1565;29,28058;452509,2
21;764,540588378906;563,951583862305;10;352,2057;True;4450;163,0586;827,5992;34,22994;1,449889E+07
22;754,169311523438;554,419881272316;8;304,3812;True;4450;182,0825;836,2518;36,70111;5525818
23;778,201965332031;584,712692520022;10;338,7852;True;4450;162,6387;840,8406;25,74518;9292127
24;799,770263671875;564,865000128746;10;336,0961;True;4450;156,979;856,7493;42,74121;3203919
25;804,232788085938;604,896846008301;10;339,4368;True;4450;160,2925;864,5253;92,4148;4890550
26;791,704650878906;556,801168489456;10;361,1764;True;4450;158,124;849,8287;119,6807;4078454
27;789,020202636719;553,022213459015;9;334,8397;True;4450;168,0547;857,0749;94,69743;6349948
28;799,294738769531;600,283660495281;9;334,8397;True;4450;168,9883;868,283;116,5502;6052709
29;802,022827148438;487,90263055414;9;321,7565;True;4450;156,0762;858,099;96,67256;6665490
30;764,86474609375;588,16835039258;9;317,3737;True;4450;192,4771;857,3418;78,64017;5928172
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;762,197143554688;206,032920641731;10;446,5308;True;4450;204,4381;866,6352;84,51618;399980,8
2;787,021240234375;413,413189168274;9;302,4014;True;4450;175,4724;862,4937;42,87976;4710713
3;775,529907226563;427,760605898872;8;300,7574;True;4450;186,1491;861,679;100,7538;2177365
4;777,155700683594;429,092605699599;8;302,3925;True;4450;180,2923;857,448;-43,17361;2275932
5;794,875061035156;553,564309692383;8;302,3925;True;4450;170,9574;865,8325;88,1459;7838971
6;767,177795410156;511,656495374441;8;267,2369;True;4450;166,9005;834,0783;65,20502;5930836
7;762,836791992188;422,046424666047;9;292,7573;True;4450;162,7352;825,572;32,23722;1697270
8;778,244262695313;484,633292447776;8;241,1655;True;4450;160,6545;838,8988;35,55546;2280981
9;717,212097167969;478,489800205827;8;245,9646;True;4450;179,302;796,5141;27,24188;4433736
10;815,52734375;543,878642272949;8;245,9646;True;4450;127,4912;843,0186;32,45608;358876,1
11;747,931762695313;496,464446046948;8;242,7654;True;4450;189,116;837,0477;26,52971;2334154
12;794,484008789063;680,451177978516;8;228,1853;True;4450;174,1074;868,5914;25,97287;1625365
13;801,653015136719;653,557881164551;8;228,1853;True;4450;154,199;855,852;38,22908;429354,7
14;782,707153320313;497,503228402138;8;228,1853;True;4450;156,2578;838,965;40,75841;4211971
15;826,018127441406;640,746775817871;8;228,1853;True;4450;140,1707;866,1888;31,27719;654650
16;825,472106933594;631,749812316895;8;198,4324;True;4450;128,3193;853,7914;38,33397;3806667
17;851,827331542969;642,973764038086;8;198,4324;True;4450;123,8235;875,6508;39,46217;1264861
18;804,821899414063;562,86638879776;8;198,4324;True;4450;145,1638;849,9857;27,13316;3025380
19;812,866577148438;593,976140856743;8;198,4324;True;4450;143,2095;856,076;31,14591;1062364
20;837,203430175781;639,406987333298;8;198,4324;True;4450;125,9106;863,1141;35,19105;533799,3
21;825,901733398438;561,109659274667;8;194,6007;True;4450;129,6797;855,5814;28,75298;2872075
